15000   4026   4387   4471
0       1.65   0.99   0.74
50      2.02   1.90   1.62
100     3.02   2.86   3.06
150     4.09   3.90   4.37
200     5.03   4.99   5.50
250     5.98   6.03   6.54
300     6.95   7.34   7.61 
350     7.97   8.51   8.67
400     9.03   9.63   9.73

20000   4026   4387   4471
0       1.96   1.62   1.05
50      2.59   1.98   2.00  
100     3.45   2.86   3.46
150     4.25   3.84   4.56
200     5.08   4.93   5.50
250     6.00   6.08   6.52
300     6.92   7.23   7.55
350     7.89   8.38   8.59
400     8.87   9.48   9.68

25000   4026   4387   4471
0       1.84   1.37   1.00
50      2.36   1.84   1.84
100     3.19   2.73   3.27
150     4.03   3.72   4.35
200     4.88   4.82   5.31 
250     5.79   5.96   6.33
300     6.74   7.11   7.39
350     7.73   8.26   8.46
400     8.72   9.37   9.57

30000   4026   4387   4471
0       1.64   1.15   0.98
50      2.10   1.72   1.72
100     2.92   2.62   3.05
150     3.82   3.62   4.11
200     4.70   4.71   5.13
250     5.65   5.86   6.17
300     6.63   7.01   7.23
350     7.63   8.15   8.33
400     8.63   9.27   9.41

